Matrice Ruoli/Permessi,Commerciale,Pianificatore,Operation Manager,Guest (Inserzionista),Admin Tenant,Super Admin
Gestione Attività,D,,I,,,
Crea attività,create_activity,,,,create_activity,create_activity
Elimina attività,,,delete_activity,,delete_activity,delete_activity
Modifica attività,edit_activity 🔑,,edit_activity,,edit_activity,edit_activity
Visualizza lista attività,view_activities_list 🔑,,view_activities_list,,view_activities_list,view_activities_list
Visualizza attività,view_activity 🔑,,view_activity,,view_activity,view_activity
Assegna attività,,,assign_activity,,assign_activity,assign_activity
Gestione Portafoglio Commerciale,D,,A,,,
Visualizza portafoglio commerciale,view_commercial_wallet 🔑,,view_commercial_wallet,,view_commercial_wallet,view_commercial_wallet
Crea inserzionista,create_advertiser,,create_advertiser,,create_advertiser,create_advertiser
Elimina inserzionista,,,delete_advertiser,,delete_advertiser,delete_advertiser
Modifica inserzionista,,,edit_advertiser,,edit_advertiser,edit_advertiser
Visualizza inserzionista,view_advertiser 🔑,,view_advertiser,,view_advertiser,view_advertiser
Crea contatto,create_contact,,create_contact,,create_contact,create_contact
Elimina contatto,,,delete_contact,,delete_contact,delete_contact
Modifica contatto,edit_contact 🔑,,edit_contact,,edit_contact,edit_contact
Visualizza contatto,view_contact 🔑,,view_contact,,view_contact,view_contact
Approva contatto,,,approve_contact,,approve_contact,approve_contact
Assegna contatto,,,assign_contact,,assign_contact,assign_contact
Gestione Trattative,D,C,A,,,
Crea trattativa,create_negotiation,,,,create_negotiation,create_negotiation
Elimina trattativa,,,delete_negotiation,,delete_negotiation,delete_negotiation
Modifica trattativa,edit_negotiation 🔑,,edit_negotiation,,edit_negotiation,edit_negotiation
Visualizza lista trattative,view_negotiations_list 🔑,,view_negotiations_list,,view_negotiations_list,view_negotiations_list
Visualizza trattativa,view_negotiation 🔑,view_negotiation,view_negotiation,,view_negotiation,view_negotiation
Gestione Strategie Pubblicitarie,D,C,A,,,
Crea strategia,create_strategy 🔑,,create_strategy,,create_strategy,create_strategy
Elimina strategia,delete_strategy 🔑,,delete_strategy,,delete_strategy,delete_strategy
Modifica strategia,edit_strategy 🔑,,edit_strategy,,edit_strategy,edit_strategy
Visualizza strategia,view_strategy 🔑,view_strategy,view_strategy,,view_strategy,view_strategy
Crea campagna (bozza),create_campaig_brief 🔑,,create_campaig_brief,,create_campaig_brief,create_campaig_brief
Richiedi pianificazione 🤖,request_planning 🔑,,,,request_planning,request_planning
Gestione Preventivi,D,C,A,,,
Genera preventivo,create_quote 🔑,,create_quote,,create_quote,create_quote
Elimina preventivo,,,delete_quote,,delete_quote,delete_quote
Modifica preventivo,edit_quote 🔑,,edit_quote,,edit_quote,edit_quote
Visualizza lista preventivi,view_quotes_list 🔑,,view_quotes_list,,view_quotes_list,view_quotes_list
Visualizza preventivo,view_quote 🔑,view_quote,view_quote,,view_quote,view_quote
Condividi preventivo,share_quote,,share_quote,,share_quote,share_quote
Stabilisci prezzi e sconti,set_prices_discounts  🔑,,set_prices_discounts,,set_prices_discounts,set_prices_discounts
Approva preventivo,approve_quote 🔑,,approve_quote,approve_quote  🔑,approve_quote,approve_quote
Gestione Contratti,C,,,,,
Genera contratto 🦾,,,,,create_contract,create_contract
Elimina contratto,,,,,delete_contract,delete_contract
Modifica contratto,,,,,edit_contract,edit_contract
Visualizza contratto,view_contract 🔑,,view_contract,view_contract,view_contract,view_contract
Firma contratto 🤖,,,,sign_contract,,
Gestione Ordini,I,,,,,
Crea ordine 🦾,,,create_order,,create_order,create_order
Elimina ordine,,,delete_order,,delete_order,delete_order
Modifica ordine,,,edit_order,,edit_order,edit_order
Visualizza lista ordini,,,view_orders_list,,view_orders_list,view_orders_list
Visualizza ordine,,,view_order,,view_order,view_order
Gestione Campagne,C,,,,,
Crea campagna 🦾,,,create_campaign,,create_campaign,create_campaign
Elimina campagna,,,delete_campaign 🔑 (solo senza ordine),,delete_campaign,delete_campaign
Modifica campagna,,,edit_campaign 🔑 (solo senza ordine),,edit_campaign,edit_campaign
Visualizza lista campagne,view_campaigns_list 🔑,view_campaigns_list 🔑,view_campaigns_list,,view_campaigns_list,view_campaigns_list
Visualizza campagna,view_campaign 🔑,view_campaign  🔑,view_campaign,,view_campaign,view_campaign
Gestione Pianificazioni,C,D,,,,
Crea pianificazione 🦾,,create_planning,,,create_planning,create_planning
Elimina pianificazione,,delete_planning,,,delete_planning,delete_planning
Modifica pianificazione,,edit_planning,,,edit_planning,edit_planning
Visualizza lista pianificazioni,view_plannings_list 🔑,view_plannings_list,view_plannings_list,,view_plannings_list,view_plannings_list
Visualizza pianificazione,view_planning 🔑,view_planning,view_planning,,view_planning,view_planning
